City,Latitude,Longitude,Max Tem,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,ID,Date
camacha,33.0833,-16.3333,66.2,66.2,68,40,20.71,PT,2270385,1616077296
matara,5.9485,80.5353,78.48,78.48,83,100,6.06,LK,1235846,1616077213
shetpe,44.1667,52.1167,52.16,52.16,72,0,17.49,KZ,608324,1616077424
hami,42.8,93.45,35.22,35.22,21,100,23.29,CN,1529484,1616077424
ostrovnoy,68.0531,39.5131,16.5,16.5,90,100,14.99,RU,556268,1616077424
geraldton,-28.7667,114.6,71.6,71.6,88,0,5.75,AU,2070998,1616077425
bagan,54.1001,77.6646,14.0,14.0,95,23,7.4,RU,1511094,1616077425
wanning,18.8003,110.3967,74.28,74.28,93,50,3.29,CN,1791779,1616077425
nemuro,43.3236,145.575,28.67,28.67,73,42,15.9,JP,2128975,1616077222
dalvik,65.9702,-18.5286,53.6,53.6,62,75,17.27,IS,2632287,1616077426
port blair,11.6667,92.75,81.0,81.0,69,0,6.49,IN,1259385,1616077426
tilichiki,60.4667,166.1,6.85,6.85,94,100,8.41,RU,2120591,1616077426
nikolskoye,59.7035,30.7861,30.2,28.0,86,90,11.18,RU,546105,1616077427
sibiti,-3.6819,13.3499,84.04,84.04,61,40,4.74,CG,2255285,1616077427
saldanha,-33.0117,17.9442,66.18,66.18,76,100,11.36,ZA,3361934,1616077427
lata,40.1629,-8.3327,66.0,62.91,38,0,5.01,PT,2738381,1616077428
ouegoa,-20.35,164.4333,78.22,78.22,83,94,15.41,NC,2139259,1616077428
rosetta,31.4044,30.4164,66.2,66.2,48,40,9.22,EG,350203,1616077429
jerome,42.7241,-114.5186,37.99,36.46,69,1,17.27,US,5597034,1616077429
huarmey,-10.0681,-78.1522,74.61,74.61,73,32,5.86,PE,3939168,1616077429
lhokseumawe,5.1801,97.1507,80.87,80.87,76,67,1.74,ID,1214658,1616077430
college,64.8569,-147.8028,3.99,0.28,71,75,2.17,US,5859699,1616077400
moron,-34.6534,-58.6198,64.0,61.05,56,0,1.99,AR,3430545,1616077430
saint-pierre,-21.3393,55.4781,80.6,76.37,78,90,13.8,RE,935214,1616077430
svetlogorsk,52.6333,29.7333,35.74,35.74,78,98,10.67,BY,10722858,1616077431
tiksi,71.6872,128.8694,-18.67,-18.67,92,100,4.0,RU,2015306,1616077431
narsaq,60.9167,-46.05,28.4,28.4,80,75,4.61,GL,3421719,1616077431
ugoofaaru,5.6667,73.0,83.88,83.88,69,98,6.96,MV,1337619,1616077432
kenai,60.5544,-151.2583,18.0,4.15,84,90,4.61,US,5866063,1616077432
dandong,40.1292,124.3947,39.43,39.43,64,20,4.76,CN,2037886,1616077432
lola,7.8,-8.5333,79.09,79.09,73,100,2.44,GN,2418092,1616077433
chicama,-7.8447,-79.1469,73.4,73.4,83,55,8.05,PE,3698359,1616077433
mogadishu,2.0371,45.3438,82.4,82.4,69,20,12.66,SO,53654,1616077398
katsuura,35.1333,140.3,55.4,55.09,88,75,4.61,JP,2112309,1616077433
rach gia,10.0167,105.0833,78.8,78.8,83,20,3.44,VN,1568510,1616077434
atambua,-9.1061,124.8925,75.06,75.06,80,99,0.69,ID,1651103,1616077434
mar del plata,-38.0023,-57.5575,57.2,57.04,82,75,6.91,AR,3430863,1616077434
mattru,7.6244,-11.8332,90.68,90.68,35,79,2.46,SL,2409215,1616077435
sinnamary,5.3833,-52.95,80.62,80.62,69,98,8.66,GF,3380290,1616077435
sabang,5.8933,95.3214,83.48,83.48,70,98,10.87,ID,1214026,1616077203
srednekolymsk,67.45,153.6833,-12.46,-12.46,97,34,8.01,RU,2121025,1616077435
camocim,-2.9022,-40.8411,81.28,81.28,82,38,8.52,BR,3403687,1616077436
fare,-16.7,-151.0167,81.59,81.59,70,67,5.95,PF,4034496,1616077436
xique-xique,-10.8218,-42.7263,84.31,84.31,54,50,9.91,BR,3444823,1616077436
